"","valeur_reelle","Random_Forest","Rpart","Gradient","Regression","Regression_backward","Regression_penalisee","SVM","SVM_lineaire","Extra_Gradient"
"2267",2.7,2.80199333333334,2.52842105263158,2.83910896233544,2.63816162355182,2.63593312016389,2.65084653418147,2.68499457067238,2.6590433954323,2.71039700508118
"2268",3.2,3.13173666666667,3.1022813688213,3.12519468749305,3.09507776786629,3.10155497779705,3.11929141360642,3.19872803929979,3.17982842766779,2.92234349250793
"2269",3.4,3.37781333333334,3.2664047151277,3.41976261351233,3.46360296941606,3.46246601117035,3.42704305174461,3.34136155222433,3.52404862059514,3.36392331123352
"2270",2.7,2.90264333333333,3.15805396565821,2.8135375776642,2.87391020710872,2.8644944632328,2.86252407491156,2.90402699405744,2.84587214555441,2.85588407516479
"2271",2.4,2.49462,2.78723404255319,2.60473172199226,2.49513417052166,2.49172197554207,2.50316188093422,2.39087974011638,2.49194901076264,2.39857721328735
"2272",3.5,3.46964,3.2664047151277,3.46643879528183,3.46848209956031,3.4600124005562,3.45992590646213,3.55891998536782,3.5277117141818,3.4160487651825
"2273",2.2,2.35396666666667,2.63791469194313,2.44908764002663,2.50405634283223,2.50329698044678,2.51238869739661,2.5346175709161,2.53851873063142,2.33005833625793
"2274",4,3.08888,3.30461095100865,3.16992502789133,3.23720853793359,3.2357794955927,3.22396141475911,3.07220853963104,3.24514756345649,3.25361227989197
"2275",2.8,3.22698666666667,3.27105263157895,3.32460823651946,3.23837563459528,3.23677911961899,3.20811305346844,3.15195607396948,3.21608729691905,3.23600935935974
"2276",2.8,2.75542,2.52204301075269,2.89501662240273,2.777446143543,2.78716350105775,2.8212615571126,2.77136683044517,2.80499237105125,2.70277190208435
"2277",3,3.05404,3.2664047151277,3.11167490330985,3.10974133387169,3.11211703231235,3.12806088137415,3.07423425430037,3.14817064842553,3.05618691444397
"2278",3.3,3.21323666666666,2.90740740740741,3.11996353632403,3.08057884569433,3.07843555490097,3.07130733890898,3.13117697527443,3.12617175921707,3.24505853652954
"2279",2.9,2.88185,2.90078740157481,2.85108922157411,2.90176110393715,2.90341706038038,2.89727988548564,2.85270439707166,2.86338033059187,2.86786532402039
"2280",3.8,3.57114055555555,3.33564231738035,3.28177467581944,3.15673994028724,3.16037585385231,3.14381334146362,3.21032893907873,3.14038511415103,3.31348943710327
"2281",3.4,3.39110666666667,3.2664047151277,3.35075251496532,3.39740234644078,3.39817982524835,3.37451444898752,3.42068432838194,3.45272066875539,3.35113024711609
"2282",2.9,3.00042333333334,3.15805396565821,3.19342480884265,3.1030324408594,3.0980814385421,3.0865775638039,3.20292486663856,3.14508603438564,3.13307094573975
"2283",2.7,2.93487333333334,3.144,2.69057494657164,2.89952186324797,2.8811706162544,2.88176888628615,3.04543248783444,2.94395834276604,2.53385853767395
"2284",2.8,2.79174999999999,2.52204301075269,2.71159305682105,2.65217458262294,2.63268907723619,2.67190863332986,2.74110333026661,2.68172064530796,2.62088775634766
"2285",2.8,2.69648333333333,2.4592,2.71790992970075,2.83703108317617,2.84007123948876,2.81933051382604,2.80524762730613,2.8507351370102,2.54761958122253
"2286",4.3,3.84566999999999,3.43235294117647,3.46317610901629,3.19659487374326,3.2189051130532,3.19272714266439,3.26653262989318,3.22925591830801,3.52551913261414
"2287",4.1,3.62660999999999,3.30461095100865,3.10674741509455,3.05412556058742,3.04128201486831,3.05240284500917,3.10821745612274,3.08062271909976,3.22884488105774
"2288",3.1,3.06298666666666,3.2664047151277,3.15960731511196,2.92361295361596,2.92417688428638,2.97866450369086,3.04616991594377,3.01253851902659,3.06160664558411
"2289",2.9,3.09805666666667,3.07321428571428,3.100802655917,3.14225359525659,3.12994176597797,3.12633867486392,3.20774859207556,3.16434764581533,3.1344530582428
"2290",2.8,2.86256999999999,2.96904761904762,2.96856547045424,2.9197744654423,2.90119345232878,2.90192904525451,2.92438523505951,2.95061147120482,2.94091391563416
"2291",1.9,2.15257666666666,2.4592,2.54553903841279,2.56595500679226,2.56714346892547,2.58071518484374,2.23211729007128,2.56444370240419,2.32113599777222
"2292",2.6,2.74942,2.89651162790698,2.99173825154817,3.04743020527908,3.04620176007247,3.04088622515558,2.98280409567922,3.04546970560675,3.04034042358398
"2293",3,2.97451,3.07530120481928,3.04828790281453,3.04308493095789,3.04063994777341,3.07321448276095,3.23738546698895,3.10395387337213,3.10003805160522
"2294",3.3,2.97238333333334,3.15805396565821,2.82608070083803,2.86856975085476,2.87066781838498,2.88272865316817,2.90668670967757,2.92839394793045,2.81764125823975
"2295",2.3,2.39296999999999,2.4592,2.54431335053064,2.65112521909031,2.65219593663963,2.65365078077099,2.58929156858329,2.65960334495463,2.51154255867004
"2296",2.7,2.90393000000001,3.35365853658537,3.12531403405634,3.00690628079789,3.00957912747372,3.00754496963269,3.08397161737222,3.04253237079689,3.19081974029541
"2297",3.3,2.96538333333333,3.1022813688213,2.99475382321832,2.98963409696501,2.99611812123952,2.97522751510216,2.96257356251295,3.03073786728533,3.0733425617218
"2298",2.5,2.72842,3.41875,2.7790184828387,2.73106991446795,2.7305895667271,2.75161777466695,2.59646341724462,2.70955926704635,2.72587370872498
