"","valeur_reelle","Random_Forest","Rpart","Gradient","Regression","Regression_backward","Regression_penalisee","SVM","SVM_lineaire","Extra_Gradient"
"1782",3.3,3.01815666666667,2.75630136986302,2.48695680156672,2.73357903622813,2.74508935511692,2.7632195901293,2.55734275719902,2.77411165365734,2.71888709068298
"1783",3.4,2.98587,3.26235408560311,2.79687940414247,2.94014123837176,2.92315239962839,3.00365409101414,2.84336987686885,3.05939509396764,2.66512608528137
"1784",4.3,3.56225333333333,3.31250000000001,3.46044451020503,3.47775489054394,3.48654332853987,3.46977732303432,3.64262989633655,3.57101831454023,3.58382821083069
"1785",5,3.60992333333333,3.65368731563422,3.56038801881227,3.82345459481115,3.83331813228698,3.72693281366523,3.73443606803593,3.9257813679064,3.78385901451111
"1786",4.2,3.3976,3.1956678700361,3.60843984788966,3.77946221111339,3.76739164993715,3.76672147837019,3.6454714102935,3.70141115904493,3.54980731010437
"1787",3.2,2.59213333333333,2.75630136986302,2.2576790321128,2.68650289048802,2.69660632720733,2.73390641406697,3.0372111344525,2.75765747758304,2.54037189483643
"1788",2.8,4.29217,4.43669724770642,4.11379941795049,3.8135709354005,3.8064155164404,3.8338994977022,3.94701612212931,3.83184678700891,4.26070976257324
"1789",3.4,3.11708,2.99304743339831,3.22380939169149,3.281867817611,3.26941909698534,3.26431634106844,3.54192802918775,3.34150362900527,2.92827582359314
"1790",3.6,3.67511333333333,3.31250000000001,3.74368119998916,3.54640548865215,3.55378950511813,3.54811852264714,3.77558654396272,3.59567356182477,3.88962435722351
"1791",3.7,2.70568,2.75630136986302,2.64660461496561,2.73152786963115,2.70690168388791,2.73870359415252,2.61848040180441,2.77458864666719,2.66341066360474
"1792",2.7,2.76445666666667,2.99304743339831,2.7059265079701,2.79575814264249,2.81590925750677,2.80776620094014,2.79728038389388,2.80403632149264,2.80590653419495
"1793",3,2.86263666666667,2.90021881838074,2.93947340233694,2.91024261716973,2.96474950735735,2.95094549723659,2.72708722267738,2.86212719029631,2.7373354434967
"1794",2.6,3.02219333333333,2.75630136986302,2.78713650746789,2.72705854390843,2.74140932039206,2.78179746494689,2.87824653884312,2.64706354339794,3.0156455039978
"1795",3.2,3.88531333333333,3.65368731563422,3.83169731398086,3.77130985873381,3.77511872163645,3.74162879917522,3.7964127899362,3.79859191183481,4.10972499847412
"1796",3.6,2.92164,2.75630136986302,3.14433486360641,2.94135230563279,2.93019046764369,2.96008579208951,3.12279855683383,2.98109887097968,3.17926526069641
"1797",2.5,3.05926666666667,2.99304743339831,2.97134231233135,3.06366189333262,3.07985786574734,3.08020834347207,3.13099352059842,3.11271149849739,3.06351351737976
"1798",3.4,3.14162666666667,3.31250000000001,3.21472406201277,3.28709468032611,3.28110487683523,3.27557944707811,3.30633140361765,3.31390249235642,3.29507207870483
"1799",3.7,3.22286666666667,3.31861804222649,3.3389792647095,3.4159934213601,3.41751841394388,3.38948652208104,3.42420863222119,3.46989723642771,3.61406993865967
"1800",3.1,2.99789333333333,2.99304743339831,3.03603070849171,3.26770226075482,3.27587987635784,3.28745225968967,3.28585853343516,3.35367056391219,3.23316383361816
"1801",4.5,3.38849,3.65368731563422,3.72693271314543,3.62750717786795,3.66785880287747,3.63402799808928,3.78538598007827,3.64642053643772,3.75245428085327
"1802",3.6,3.04083,2.90021881838074,3.09104767797776,2.83915070468329,2.85110149934786,2.87469173563219,3.08075567485391,2.86863808133082,3.18148469924927
"1803",3.3,2.78742333333333,2.75630136986302,2.80873136576093,3.04377494472728,3.04755135129318,3.02749563685884,3.11393882108626,3.08401216133064,2.87167477607727
"1804",3,2.69019333333333,2.75630136986302,2.8806823455033,2.98900036912314,2.98013598230641,2.95781784486602,3.02805001269516,3.02554101703746,3.0353217124939
"1805",3.7,3.23841333333333,3.31250000000001,3.30366899142014,3.48452951264176,3.45477210851385,3.43762261351412,3.42604044579721,3.52327991235756,3.26008629798889
"1806",3.8,3.13901333333333,2.99304743339831,3.03811772729333,3.12712932610717,3.15238442134126,3.14169139874869,3.01018443185121,3.15514026247004,3.01664328575134
"1807",2.7,2.77629,2.75630136986302,2.67973070883832,2.71961561714244,2.72109267948249,2.72964600072766,2.51253406098131,2.70898468700057,2.70521020889282
"1808",3.6,3.23368666666667,3.26235408560311,3.1754326471834,3.21343902482594,3.2073206553388,3.18892938448995,3.01814696603809,3.24706348655423,3.26050329208374
"1809",3,2.86592,2.75630136986302,2.65665766892968,3.11182215118798,3.14310001674491,3.05988507712821,3.16139120107564,3.15096703568292,2.91936945915222
"1810",3.7,2.95424666666667,2.75630136986302,2.90021306165092,3.05247631409105,3.05082348762732,3.01493867593053,3.07499754976144,3.10221145750725,3.35814213752747
"1811",3,2.91029333333333,2.75630136986302,2.86983184442878,2.86773934227757,2.858080639051,2.85624387342751,2.83981956199155,2.9233589146157,2.81728577613831
"1812",3.7,3.06211333333333,3.1956678700361,3.13799318377561,2.81530096744968,2.80367081747481,2.8194829624892,2.90688079061777,2.80038150217443,2.64781594276428
"1813",2.9,3.30232333333333,2.99304743339831,3.36952080720891,3.47878094269518,3.4614627057284,3.43114143918206,3.52164527280021,3.53643252446609,3.20887660980225
"1814",3.4,3.08619333333333,2.66508620689655,3.01591851148802,2.99168935433351,3.06572881677973,3.00404387640319,2.88248556605153,2.88479848119429,2.91242623329163
"1815",4.3,3.47963333333333,3.31250000000001,3.61512790755143,3.80162631595282,3.81261109235062,3.75627106167317,3.56130813946511,3.78210279878948,3.74886536598206
"1816",2.8,2.70328,2.75630136986302,2.79642856554835,2.83134775401056,2.81817052301534,2.83142857756435,2.90753869583542,2.80161365180011,2.83177495002747
"1817",3,3.56422666666666,3.31250000000001,3.34972522108247,3.45294320951087,3.50933112862198,3.43297535564483,3.08520110087125,3.45211376331813,3.27763676643372
"1818",3.3,3.13869,3.26235408560311,2.93107233229936,3.05018716044357,3.03946086201334,3.0396545270767,2.91573226116433,3.01645565074751,3.31818509101868
"1819",3.7,3.59863,3.26235408560311,3.49777063762817,3.44937872760307,3.47536137724465,3.47564780429889,3.12590693775331,3.46558247654974,3.20444655418396
"1820",2.6,3.17767666666667,3.26235408560311,3.31649104429263,3.5712105561965,3.55329124355746,3.50909047237057,3.55805614753859,3.54143574082791,3.68852162361145
"1821",3.4,3.46743,3.31250000000001,3.46648838851561,3.38489817837167,3.38904079286401,3.36155317456482,3.38978487258833,3.39827924771598,3.39625191688538
"1822",3.3,2.87851333333333,2.75630136986302,2.91991982526799,2.76736539285746,2.77484570551811,2.77582512425428,3.01439803867351,2.80923514133552,2.80637121200562
"1823",3.3,2.69643,2.90021881838074,2.84056838152834,2.76908735861483,2.74608429805993,2.75395806670018,2.69998771088388,2.75650728059181,2.92056703567505
"1824",2.8,2.59395,2.66508620689655,2.52166518559755,2.67821974048179,2.66685186977745,2.69738888276358,2.70669320847602,2.66414669075506,2.60830235481262
"1825",4.6,3.43992333333333,3.31250000000001,3.5233987838846,3.55918078209079,3.56517473659147,3.55005966360076,3.64788600147403,3.61102558640596,3.56518125534058
"1826",3.4,3.21188333333333,2.66508620689655,3.61760270740852,3.65004057610273,3.64944961953164,3.61899351320698,3.45389124448405,3.6051429536744,3.34522819519043
"1827",3.1,2.67133666666667,3.31250000000001,2.61024800504911,2.76047819495905,2.79977909047427,2.79460978716095,2.76526101426063,2.83490732564018,2.79447984695435
"1828",2.8,3.11602333333333,2.66508620689655,2.96275345862114,2.9716441197981,2.98247638087315,3.02920163893151,2.80485341001653,2.93641082306714,3.00921297073364
"1829",2.1,2.95154333333333,2.90021881838074,2.83465329695612,2.85971668922158,2.88672978914263,2.86709322402201,2.5012748273273,2.78584188129182,2.90214681625366
"1830",3,3.49074,3.31861804222649,3.51255567694766,3.46829908976747,3.46409257657146,3.44554711599698,3.3687724499299,3.47080566335584,3.55953788757324
"1831",2.4,2.69885333333333,2.75630136986302,2.63318727196714,2.56814873061759,2.61936575959876,2.58857194798881,2.61761749740289,2.48865283463167,2.66080284118652
"1832",3,3.22097619047619,3.31250000000001,3.27408871221022,3.20556610824977,3.21154043659877,3.25730035031558,3.17534039764408,3.20609782598981,2.77073526382446
"1833",4.1,2.96311666666667,2.99304743339831,2.95323208776896,2.83572238845649,2.88020883941137,2.87245185395211,2.6783466775927,2.84840362992314,2.9587926864624
"1834",2,2.63056333333333,2.75630136986302,2.73382282435071,2.72815312610808,2.72501283554156,2.73594526991795,2.71352173730298,2.75056593142215,2.75854802131653
"1835",2.8,3.27836333333333,3.31861804222649,3.21058176963368,3.31503615299771,3.31300814726658,3.34408129351978,3.22865536079881,3.3086833075379,3.38358998298645
"1836",2.2,3.06303,3.26235408560311,2.99765089202217,2.65279060218437,2.63102640638804,2.70347046582383,3.42074489764915,2.66221147854613,3.28215956687927
"1837",3,2.65528333333334,2.75630136986302,2.47622336494235,2.35382459380539,2.36960490596881,2.40879288473806,2.36866239192913,2.3401554732992,2.27742099761963
"1838",3.9,3.32347,2.99304743339831,3.44834127980817,3.43873445670133,3.39489621276517,3.43190507069305,3.44376327243278,3.48331952561214,3.56515979766846
"1839",2.6,2.60068,3.26235408560311,2.67444686701776,2.73513612846496,2.71068378749285,2.73695282662573,2.87641383706343,2.71826633780015,2.62914705276489
"1840",3.6,3.34085,3.1956678700361,2.99439970238334,2.98066040361694,3.01847370624099,3.00593939103473,3.14210609514296,2.99087257706556,3.25046968460083
"1841",2.9,2.70508,2.99304743339831,2.71741423182213,2.82486821561479,2.82853008293223,2.85397924644237,2.98303547220623,2.868773791696,2.65181493759155
"1842",2.8,2.68534666666667,2.90021881838074,2.7257305087006,2.55943699737522,2.53082285417447,2.57824759349672,2.75563130434875,2.57132128196549,2.48200082778931
"1843",3,2.93478333333333,2.99304743339831,2.80104671723055,2.84470595016246,2.84841910007532,2.90659431580537,2.88896832432048,2.84470167221281,2.87152671813965
"1844",2.5,3.33620666666666,3.26235408560311,3.40503671023373,3.36398445573692,3.36606706848448,3.43675278707253,3.36447456126362,3.46723301758372,3.39424633979797
"1845",3.1,3.76487666666667,3.81758241758242,3.96687072004173,3.71417363031659,3.7312677662403,3.75653511329675,3.63914423137646,3.78741908360699,3.54442524909973
"1846",2.8,2.71474333333333,2.66508620689655,2.6390845765366,2.41019005603101,2.39055032315207,2.4606803900882,2.82708040374453,2.38755626279619,2.71355533599854
"1847",3.3,3.33483999999999,2.90021881838074,2.9790564997535,2.99422481568587,3.00659889050985,3.04657680562104,3.11213505120186,3.01231910487922,2.79383158683777
"1848",4,3.19913333333333,3.31250000000001,3.33892407194372,3.28768345001152,3.27188784969982,3.23505374235229,3.17677614704184,3.40677620480323,3.27598333358765
"1849",3.2,2.86788,2.75630136986302,2.52950337649204,2.62271324358293,2.6231785691521,2.63647620229709,2.66685941413549,2.63784076584157,2.57863140106201
"1850",4.7,3.51837333333333,3.1956678700361,3.27489427590088,3.07526986828698,3.14247028758919,3.12180645751596,3.25556005589222,3.11131885044124,3.03049802780151
"1851",3.1,2.97366,3.26235408560311,2.96352509990314,2.82567793069912,2.83198600401292,2.88795900195347,2.65627604657552,2.81776105554126,2.95539164543152
"1852",2.8,3.03495,2.99304743339831,3.11228343933992,3.00233230411009,3.04386221349532,3.06567640814739,3.54656164058548,3.07836694300062,3.10853242874146
"1853",2.7,3.31445333333333,2.99304743339831,3.46946307137202,3.36895074303013,3.386028658341,3.38999952456876,3.38953898534454,3.343705701676,3.54102849960327
"1854",4,3.41919666666667,3.31250000000001,3.27413883647481,3.41106594460244,3.3766792619644,3.38102402987815,3.69849013057797,3.47867048274242,3.23200607299805
"1855",2.7,3.09707333333333,2.99304743339831,3.38447100940927,3.11098930877651,3.1144939909125,3.14133023604488,3.55167700303776,3.18853184310657,3.10612630844116
"1856",2,2.80601,2.75630136986302,2.87172508685553,2.80760547987062,2.81335537941021,2.86662805941618,3.61152883160296,2.91721855574463,3.13699817657471
"1857",3.1,3.03596333333333,2.90021881838074,3.14484585677613,3.01803264329665,3.01227458820309,3.0101278362438,3.27190213088906,3.03167878872092,2.99920153617859
"1858",2.9,2.72772333333333,2.99304743339831,2.62484881171003,2.67795520305642,2.69833027687617,2.73537455560206,3.00923211668694,2.72058628924663,2.59887480735779
"1859",3.7,3.00292,3.31861804222649,3.00227667057052,2.85497558978491,2.86099751777177,2.89105126429683,2.65079705411612,2.83627052351362,3.17159152030945
"1860",3.5,3.3227,3.31250000000001,3.31488808260134,3.24239838716622,3.25037776504918,3.24578564460554,3.6816343145047,3.32915856268366,3.46951246261597
"1861",4.1,3.42251666666667,2.75630136986302,3.25218492032077,2.96097280634915,2.9467396319925,2.95809609136945,3.40911445682926,2.98274614319739,3.45683526992798
"1862",4.2,2.73766,2.75630136986302,2.83942626479188,2.74838018017256,2.75046987005936,2.7533747439388,2.61580045164066,2.7761024641679,2.92939591407776
"1863",3.7,3.14809,2.99304743339831,3.08119913753505,2.98585678729167,2.98364106487,3.00198973783649,3.07688918031724,3.08717881188768,3.03046441078186
"1864",2.9,3.01059333333333,2.66508620689655,3.15044141525231,2.9511058683441,2.94681777891849,2.95567105531987,2.93893497334656,2.98075670021685,2.90914916992188
"1865",2.6,3.05269,3.26235408560311,3.20984876195775,3.2658791047724,3.27497429267267,3.2606178492974,3.12016423027874,3.34329512100756,3.09257102012634
"1866",3.5,3.25782666666666,2.90021881838074,3.57954461657873,3.5416766789926,3.52671398491548,3.50916864037259,3.43812369711525,3.50822761052797,3.44439697265625
"1867",3.3,3.19493666666666,3.26235408560311,3.30416692309421,2.90505461402234,2.90864816855341,2.96888599964938,3.20731406865944,2.87923453058941,3.09484839439392
